Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1673.9839872860641
FDW14,OUT017,1349.512904332131
NCN55,OUT010,471.3068466911765
FDQ58,OUT017,2432.662580732177
FDY38,OUT027,5041.821497446804
FDH56,OUT046,1892.0661445161302
FDL48,OUT018,790.3307954098364
FDC48,OUT027,2846.400822516556
FDN33,OUT045,1559.9736407643313
FDA36,OUT017,3190.6434675824175
FDT44,OUT017,1892.0661445161302
FDQ56,OUT045,1349.512904332131
NCC54,OUT019,471.3068466911765
FDU11,OUT049,2006.4707423197508
DRL59,OUT013,790.3307954098364
FDM24,OUT049,2432.662580732177
FDI57,OUT045,3011.525299159664
DRC12,OUT018,3011.525299159664
NCM42,OUT027,2846.400822516556
FDA46,OUT010,471.3068466911765
FDA31,OUT013,2843.5697892156877
NCJ31,OUT035,3549.850947508305
FDG52,OUT046,790.3307954098364
NCL19,OUT019,207.13050352504655
FDS10,OUT035,3190.6434675824175
FDX22,OUT010,471.3068466911765
NCF19,OUT035,790.3307954098364
NCE06,OUT046,2633.83984390244
DRC27,OUT046,3805.948604166663
FDE21,OUT035,1892.0661445161302
NCR42,OUT019,207.13050352504655
FDX51,OUT018,3011.525299159664
NCR06,OUT018,646.0888157894736
FDU31,OUT027,5041.821497446804
FDU59,OUT017,2633.83984390244
FDR03,OUT027,5041.821497446804
FDS49,OUT027,2846.400822516556
FDD48,OUT010,207.13050352504655
NCF18,OUT017,3011.525299159664
NCD43,OUT027,2846.400822516556
NCD54,OUT018,2117.4513803278683
FDY19,OUT010,207.13050352504655
NCY54,OUT017,2843.5697892156877
NCL19,OUT018,2432.662580732177
FDP23,OUT010,471.3068466911765
FDC26,OUT013,1673.9839872860641
FDR14,OUT010,207.13050352504655
NCS41,OUT035,3190.6434675824175
FDF41,OUT035,3549.850947508305
FDU34,OUT046,2117.4513803278683
DRH11,OUT046,1068.5067658349326
FDM03,OUT013,1673.9839872860641
FDS31,OUT017,3190.6434675824175
FDJ20,OUT017,2117.4513803278683
FDV44,OUT027,5041.821497446804
FDG02,OUT049,3190.6434675824175
FDA09,OUT013,2843.5697892156877
FDT04,OUT013,646.0888157894736
FDL58,OUT019,471.3068466911765
FDE52,OUT045,1349.512904332131
FDW12,OUT035,2432.662580732177
FDL51,OUT017,3805.948604166663
NCY42,OUT027,2846.400822516556
FDR07,OUT017,1559.9736407643313
FDN40,OUT045,2432.662580732177
FDB35,OUT027,2846.400822516556
FDA22,OUT017,2633.83984390244
NCL06,OUT046,4125.17447454068
FDI35,OUT013,3190.6434675824175
NCW42,OUT045,3805.948604166663
NCX06,OUT049,2843.5697892156877
FDC37,OUT027,2846.400822516556
FDZ14,OUT018,2006.4707423197508
DRG49,OUT049,3549.850947508305
NCG06,OUT045,4125.17447454068
DRC36,OUT045,2843.5697892156877
FDV21,OUT019,207.13050352504655
FDB53,OUT046,2432.662580732177
DRP47,OUT019,471.3068466911765
FDA14,OUT013,2432.662580732177
DRC24,OUT035,2432.662580732177
FDW21,OUT018,1559.9736407643313
NCH29,OUT046,1559.9736407643313
FDU58,OUT013,3190.6434675824175
FDY27,OUT017,2843.5697892156877
FDV56,OUT035,1673.9839872860641
FDT59,OUT046,3805.948604166663
FDB23,OUT046,3805.948604166663
FDR49,OUT045,790.3307954098364
FDB03,OUT010,471.3068466911765
FDN39,OUT045,2633.83984390244
FDX02,OUT027,5041.821497446804
FDQ16,OUT027,2846.400822516556
FDU35,OUT018,1559.9736407643313
NCT29,OUT013,2006.4707423197508
FDZ27,OUT046,790.3307954098364
FDN57,OUT017,2117.4513803278683
FDA03,OUT018,2432.662580732177
FDZ36,OUT045,3190.6434675824175
NCU05,OUT013,1349.512904332131
FDT39,OUT018,2432.662580732177
FDK60,OUT017,1559.9736407643313
FDZ25,OUT017,2633.83984390244
FDG12,OUT046,2006.4707423197508
DRB01,OUT019,471.3068466911765
NCC43,OUT027,5041.821497446804
FDX13,OUT019,471.3068466911765
FDM22,OUT049,1068.5067658349326
FDJ03,OUT027,790.3307954098364
FDU14,OUT018,4125.17447454068
FDB33,OUT010,471.3068466911765
FDP27,OUT046,3011.525299159664
FDO38,OUT010,207.13050352504655
FDE28,OUT027,5041.821497446804
FDO27,OUT035,1559.9736407643313
DRL23,OUT027,2846.400822516556
FDS28,OUT046,1068.5067658349326
FDX24,OUT013,1349.512904332131
FDZ02,OUT035,1559.9736407643313
FDL46,OUT045,1892.0661445161302
FDS60,OUT027,5041.821497446804
NCO06,OUT017,646.0888157894736
FDO16,OUT035,1349.512904332131
FDC60,OUT049,1349.512904332131
FDA48,OUT018,3549.850947508305
FDZ36,OUT027,5041.821497446804
FDK27,OUT045,2006.4707423197508
FDW23,OUT018,646.0888157894736
FDM14,OUT018,1673.9839872860641
FDM14,OUT013,1673.9839872860641
FDW60,OUT018,2843.5697892156877
FDE21,OUT013,1892.0661445161302
